id,freq_hz,counts,substrain,noise_spl,abr_time
C101,32000.0,3.7,CaJ,103,ZT15
C101,48000.0,6.7,CaJ,103,ZT15
C101,64000.0,1.2,CaJ,103,ZT15
C117,6000.0,6.5,CaJ,103,ZT15
C117,8000.0,5.1,CaJ,103,ZT15
C117,12000.0,8.1,CaJ,103,ZT15
C117,16000.0,7.6,CaJ,103,ZT15
C117,24000.0,9.0,CaJ,103,ZT15
C117,32000.0,4.4,CaJ,103,ZT15
C117,48000.0,10.9,CaJ,103,ZT15
C117,64000.0,1.0,CaJ,103,ZT15
C124,6000.0,9.6,CaJ,103,ZT15
C124,8000.0,5.2,CaJ,103,ZT15
C124,12000.0,6.3,CaJ,103,ZT15
C124,16000.0,13.0,CaJ,103,ZT15
C124,24000.0,11.9,CaJ,103,ZT15
C124,32000.0,0.8,CaJ,103,ZT15
C124,48000.0,3.4,CaJ,103,ZT15
C124,64000.0,5.0,CaJ,103,ZT15
C366,6000.0,10.3,CaJ,103,ZT15
C366,8000.0,18.4,CaJ,103,ZT15
C366,12000.0,5.0,CaJ,103,ZT15
C366,16000.0,8.5,CaJ,103,ZT15
C366,24000.0,7.7,CaJ,103,ZT15
C366,32000.0,5.0,CaJ,103,ZT15
